0.00,55.00,0.00,1.00,54.62,54.62,0.00,0.00
1.00,55.00,0.00,2.00,63.26,58.94,0.00,0.00
2.00,55.00,0.00,3.00,59.98,59.29,0.00,0.00
3.00,55.00,0.00,4.00,57.98,58.96,0.00,0.00
4.00,55.00,0.00,5.00,51.34,57.44,0.00,0.00
5.00,55.00,0.00,6.00,51.34,56.42,0.00,0.00
15.00,55.00,0.00,7.00,51.75,55.75,1.00,2.00
15.00,55.00,1.00,1.00,51.73,51.73,1.00,2.00
16.00,55.00,1.00,2.00,53.56,52.65,0.00,0.00
16.00,55.00,1.00,3.00,52.19,52.49,1.00,2.00
17.00,55.00,1.00,4.00,56.87,53.59,0.00,0.00
18.00,55.00,1.00,5.00,55.48,53.97,0.00,0.00
20.00,55.00,1.00,6.00,58.18,54.67,0.00,0.00
22.00,55.00,1.00,7.00,53.38,54.48,1.00,2.00
22.00,55.00,2.00,1.00,51.09,51.09,1.00,2.00
23.00,55.00,2.00,2.00,54.50,52.79,0.00,0.00
23.00,55.00,2.00,3.00,53.37,52.99,1.00,2.00
24.00,55.00,2.00,4.00,55.84,53.70,0.00,0.00
25.00,55.00,2.00,5.00,60.78,55.11,0.00,0.00
26.00,55.00,2.00,6.00,52.00,54.60,0.00,0.00
28.00,55.00,2.00,7.00,57.89,55.07,1.00,4.00
28.00,55.00,3.00,1.00,59.62,59.62,1.00,4.00
29.00,55.00,3.00,2.00,49.70,54.66,0.00,0.00
29.00,55.00,3.00,3.00,58.02,55.78,1.00,4.00
30.00,55.00,3.00,4.00,58.11,56.36,0.00,0.00
31.00,55.00,3.00,5.00,51.56,55.40,0.00,0.00
32.00,55.00,3.00,6.00,49.98,54.50,0.00,0.00
35.00,55.00,3.00,7.00,61.13,55.44,1.00,5.00
35.00,55.00,4.00,1.00,61.49,61.49,1.00,5.00
36.00,55.00,4.00,2.00,53.57,57.53,0.00,0.00
36.00,55.00,4.00,3.00,61.99,59.02,1.00,5.00
37.00,55.00,4.00,4.00,50.47,56.88,0.00,0.00
38.00,55.00,4.00,5.00,59.26,57.36,0.00,0.00
